Sector,Years of Operation,How Much They Raised,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype,failure,startup_id,week
Finance and Insurance,2112.6,687.75,1.05,1.05,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
Finance and Insurance,2213.2000000000003,720.5000000000001,1.1,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2
Finance and Insurance,2313.7999999999997,753.2499999999999,1.15,1.15,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3
Finance and Insurance,2414.4,786.0,1.2,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4
Finance and Insurance,2515.0,818.75,1.25,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5
Finance and Insurance,2615.6,851.5,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6
Finance and Insurance,2716.2000000000003,884.2500000000001,1.35,1.35,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,7
Finance and Insurance,2816.7999999999997,916.9999999999999,1.4,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,8
Finance and Insurance,2917.4,949.75,1.45,1.45,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,9
Finance and Insurance,3018.0,982.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,10
Finance and Insurance,3118.6,1015.25,1.55,1.55,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,11
Finance and Insurance,3219.2000000000003,1048.0,1.6,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,12
Finance and Insurance,2102.1,2.1,1.05,0.0,1.05,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
Finance and Insurance,2202.2000000000003,2.2,1.1,0.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2
Finance and Insurance,2302.2999999999997,2.3,1.15,0.0,1.15,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3
Finance and Insurance,2402.4,2.4,1.2,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4
Finance and Insurance,2502.5,2.5,1.25,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,5
Finance and Insurance,2602.6,2.6,1.3,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,6
Finance and Insurance,2702.7000000000003,2.7,1.35,0.0,1.35,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,7
Finance and Insurance,2802.7999999999997,2.8,1.4,0.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,8
Finance and Insurance,2902.9,2.9,1.45,0.0,1.45,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,9
Finance and Insurance,3003.0,3.0,1.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,10
Finance and Insurance,3103.1,3.1,1.55,0.0,1.55,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,11
Finance and Insurance,3203.2000000000003,3.2,1.6,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,12
Finance and Insurance,2106.3,3.1500000000000004,1.05,0.0,1.05,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
Finance and Insurance,2206.6000000000004,3.3000000000000003,1.1,0.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2
Finance and Insurance,2306.8999999999996,3.4499999999999997,1.15,0.0,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3
Finance and Insurance,2407.2,3.5999999999999996,1.2,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,4
Finance and Insurance,2507.5,3.75,1.25,0.0,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,5
Finance and Insurance,2607.8,3.9000000000000004,1.3,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,6
Finance and Insurance,2708.1000000000004,4.050000000000001,1.35,0.0,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,7
Finance and Insurance,2808.3999999999996,4.199999999999999,1.4,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,8
Finance and Insurance,2908.7,4.35,1.45,0.0,1.45,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,9
Finance and Insurance,3009.0,4.5,1.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,10
Finance and Insurance,3109.3,4.65,1.55,0.0,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,11
Finance and Insurance,3209.6000000000004,4.800000000000001,1.6,0.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,12
Finance and Insurance,2113.65,525.0,1.05,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,1,3,1
Finance and Insurance,2214.3,550.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1,3,2
Finance and Insurance,2314.95,575.0,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,1,3,3
Finance and Insurance,2415.6,600.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1,3,4
Finance and Insurance,2516.25,625.0,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1,3,5
Finance and Insurance,2616.9,650.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1,3,6
Finance and Insurance,2717.55,675.0,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,1,3,7
Finance and Insurance,2818.2,700.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1,3,8
Finance and Insurance,2918.85,725.0,1.45,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,1,3,9
Finance and Insurance,3019.5,750.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1,3,10
Finance and Insurance,3120.15,775.0,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,1,3,11
Finance and Insurance,3220.8,800.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1,3,12
Finance and Insurance,2116.8,11.55,1.05,0.0,1.05,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1
Finance and Insurance,2217.6000000000004,12.100000000000001,1.1,0.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,2
Finance and Insurance,2318.3999999999996,12.649999999999999,1.15,0.0,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,3
Finance and Insurance,2419.2,13.2,1.2,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,4
Finance and Insurance,2520.0,13.75,1.25,0.0,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,5
Finance and Insurance,2620.8,14.3,1.3,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,6
Finance and Insurance,2721.6000000000004,14.850000000000001,1.35,0.0,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,7
Finance and Insurance,2822.3999999999996,15.399999999999999,1.4,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,8
Finance and Insurance,2923.2,15.95,1.45,0.0,1.45,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,9
Finance and Insurance,3024.0,16.5,1.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,10
Finance and Insurance,3124.8,17.05,1.55,0.0,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,11
Finance and Insurance,3225.6000000000004,17.6,1.6,0.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,12
Finance and Insurance,2111.55,31.5,1.05,0.0,1.05,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,1.05,1,5,1
Finance and Insurance,2212.1000000000004,33.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.1,1,5,2
Finance and Insurance,2312.6499999999996,34.5,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,1.15,1,5,3
Finance and Insurance,2413.2,36.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,1,5,4
Finance and Insurance,2513.75,37.5,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.25,1,5,5
Finance and Insurance,2614.3,39.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3,1,5,6
Finance and Insurance,2714.8500000000004,40.5,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,1.35,1,5,7
Finance and Insurance,2815.3999999999996,42.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.4,1,5,8
Finance and Insurance,2915.95,43.5,1.45,0.0,1.45,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,1.45,1,5,9
Finance and Insurance,3016.5,45.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,1,5,10
Finance and Insurance,3117.05,46.5,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,1.55,1,5,11
Finance and Insurance,3217.6000000000004,48.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.6,1,5,12
Finance and Insurance,2122.05,0.0,1.05,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,1,6,1
Finance and Insurance,2223.1000000000004,0.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1,6,2
Finance and Insurance,2324.1499999999996,0.0,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,1,6,3
Finance and Insurance,2425.2,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1,6,4
Finance and Insurance,2526.25,0.0,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1,6,5
Finance and Insurance,2627.3,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1,6,6
Finance and Insurance,2728.3500000000004,0.0,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,1,6,7
Finance and Insurance,2829.3999999999996,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1,6,8
Finance and Insurance,2930.45,0.0,1.45,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,1,6,9
Finance and Insurance,3031.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1,6,10
Finance and Insurance,3132.55,0.0,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,1,6,11
Finance and Insurance,3233.6000000000004,0.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1,6,12
Finance and Insurance,2112.6,21.0,1.05,0.0,1.05,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,1,7,1
Finance and Insurance,2213.2000000000003,22.0,1.1,0.0,1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1,7,2
Finance and Insurance,2313.7999999999997,23.0,1.15,0.0,1.15,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,1,7,3
Finance and Insurance,2414.4,24.0,1.2,0.0,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,7,4
Finance and Insurance,2515.0,25.0,1.25,0.0,1.25,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1,7,5
Finance and Insurance,2615.6,26.0,1.3,0.0,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1,7,6
Finance and Insurance,2716.2000000000003,27.0,1.35,0.0,1.35,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,1,7,7
Finance and Insurance,2816.7999999999997,28.0,1.4,0.0,1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1,7,8
Finance and Insurance,2917.4,29.0,1.45,0.0,1.45,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,1,7,9
Finance and Insurance,3018.0,30.0,1.5,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1,7,10
Finance and Insurance,3118.6,31.0,1.55,0.0,1.55,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,1,7,11
Finance and Insurance,3219.2000000000003,32.0,1.6,0.0,1.6,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1,7,12
